no.,f,x,y,z
1,0.720482416,0.73745098,4.1,0.8695
2,0.812390549,0.884248287,3.65,0.575
3,0.813529632,0.863871008,3.55,0.5125
4,0.53257225,0.872902481,3.85,0.652
5,0.697304505,0.891665385,4.7,0.54
6,0.733407398,0.880974728,0.7,0.7745
7,0.654187001,0.733362352,2.25,0.713
8,0.709219049,0.839979238,-1.1,0.932
9,0.750031617,0.917038206,-1.25,0.7335
10,0.713196556,0.915912575,0.9,0.7345
11,0.521181647,0.885547115,-0.15,0.7685
12,0.824819913,0.884369429,0.6,0.709
13,0.770784893,0.873444375,1.25,0.489
14,0.772822661,0.726830632,3.4,0.5375
15,0.600802719,0.638666828,1.8,0.8985
16,0.792856563,0.753638706,1.1,0.5705
17,0.800259481,0.819984896,0.8,0.4965
18,0.537606217,0.847556324,-0.25,0.834
19,0.575678543,0.884613987,2.85,0.787
20,0.821320218,0.86391328,0.75,0.6245
21,0.325209385,0.757004512,-0.2,0.763
22,0.790762502,0.899136283,5.3,0.447
23,0.803798222,0.897500832,3.45,0.3915
24,0.785716619,0.895834391,4.4,0.419
25,0.754931782,0.808529179,3.8,0.5265
26,0.793982336,0.892413302,5.1,0.435
27,0.789723036,0.881185907,3.4,0.432
28,0.797951105,0.936163477,3.2,0.528
29,0.796906125,0.934263919,2.8,0.4445
30,0.800148699,0.941756718,3,0.449
